fecha,cantidad_pasos
2017-01-01,45478
2017-01-02,89289
2017-01-03,92602
2017-01-04,95813
2017-01-05,100044
2017-01-06,98110
2017-01-07,59298
2017-01-08,50544
2017-01-09,93703
2017-01-10,95284
2017-01-11,97040
2017-01-12,99787
2017-01-13,102266
2017-01-14,69245
2017-01-15,56350
2017-01-16,95618
2017-01-17,95767
2017-01-18,96807
2017-01-19,98752
2017-01-20,97678
2017-01-21,59677
2017-01-22,55008
2017-01-23,94342
2017-01-24,92098
2017-01-25,95886
2017-01-26,98553
2017-01-27,99276
2017-01-28,60602
2017-01-29,57406
2017-01-30,100431
2017-01-31,96611
2017-02-01,100996
2017-02-02,104284
2017-02-03,104577
2017-02-04,62334
2017-02-05,50468
2017-02-06,99405
2017-02-07,98712
2017-02-08,101911
2017-02-09,104531
2017-02-10,104468
2017-02-11,65965
2017-02-12,51117
2017-02-13,96010
2017-02-14,101221
2017-02-15,99775
2017-02-16,101384
2017-02-17,93876
2017-02-18,61336
2017-02-19,59352
2017-02-20,96637
2017-02-21,89342
2017-02-22,98480
2017-02-23,96308
2017-02-24,104417
2017-02-25,65679
2017-02-26,50280
2017-02-27,50022
2017-02-28,51801
2017-03-01,95400
2017-03-02,103463
2017-03-03,102838
2017-03-04,63599
2017-03-05,59791
2017-03-06,93506
2017-03-07,74698
2017-03-08,95134
2017-03-09,102196
2017-03-10,105911
2017-03-11,67279
2017-03-12,61285
2017-03-13,99333
2017-03-14,93439
2017-03-15,84507
2017-03-16,103695
2017-03-17,103026
2017-03-18,73773
2017-03-19,66851
2017-03-20,99077
2017-03-21,100922
2017-03-22,92024
2017-03-23,110471
2017-03-24,56573
2017-03-25,67170
2017-03-26,60491
2017-03-27,98643
2017-03-28,101504
2017-03-29,103783
2017-03-30,94821
2017-03-31,99537
2017-04-01,82759
2017-04-02,59579
2017-04-03,99186
2017-04-04,104111
2017-04-05,108804
2017-04-06,102796
2017-04-07,114313
2017-04-08,74283
2017-04-09,49546
2017-04-10,93961
2017-04-11,99614
2017-04-12,109232
2017-04-13,68098
2017-04-14,48624
2017-04-15,58343
2017-04-16,64880
2017-04-17,98732
2017-04-18,100883
2017-04-19,102379
2017-04-20,109144
2017-04-21,109013
2017-04-22,77550
2017-04-23,61809
2017-04-24,97736
2017-04-25,99581
2017-04-26,105258
2017-04-27,108926
2017-04-28,110998
2017-04-29,76342
2017-04-30,70264
2017-05-01,53746
2017-05-02,99227
2017-05-03,104009
2017-05-04,108330
2017-05-05,109422
2017-05-06,74840
2017-05-07,55934
2017-05-08,94887
2017-05-09,103132
2017-05-10,96784
2017-05-11,103437
2017-05-12,100034
2017-05-13,70891
2017-05-14,62658
2017-05-15,97886
2017-05-16,100427
2017-05-17,99706
2017-05-18,101967
2017-05-19,101319
2017-05-20,72206
2017-05-21,55113
2017-05-22,95579
2017-05-23,99102
2017-05-24,106120
2017-05-25,49522
2017-05-26,99296
2017-05-27,92907
2017-05-28,56610
2017-05-29,95931
2017-05-30,99442
2017-05-31,96369
2017-06-01,103805
2017-06-02,102447
2017-06-03,65538
2017-06-04,58384
2017-06-05,96658
2017-06-06,99334
2017-06-07,103166
2017-06-08,99991
2017-06-09,108121
2017-06-10,75505
2017-06-11,62773
2017-06-12,98558
2017-06-13,100963
2017-06-14,100301
2017-06-15,106190
2017-06-16,109497
2017-06-17,62358
2017-06-18,59523
2017-06-19,97629
2017-06-20,52758
2017-06-21,100274
2017-06-22,107672
2017-06-23,106451
2017-06-24,71338
2017-06-25,61836
2017-06-26,99468
2017-06-27,94122
2017-06-28,100799
2017-06-29,111414
2017-06-30,110113
2017-07-01,74188
2017-07-02,63647
2017-07-03,99052
2017-07-04,98603
2017-07-05,104975
2017-07-06,106898
2017-07-07,105141
2017-07-08,67230
2017-07-09,52603
2017-07-10,99089
2017-07-11,105932
2017-07-12,104398
2017-07-13,110626
2017-07-14,110438
2017-07-15,70986
2017-07-16,60216
2017-07-17,99554
2017-07-18,97263
2017-07-19,105468
2017-07-20,102807
2017-07-21,106935
2017-07-22,79159
2017-07-23,66981
2017-07-24,94368
2017-07-25,99988
2017-07-26,95108
2017-07-27,107288
2017-07-28,107676
2017-07-29,78486
2017-07-30,55732
2017-07-31,96241
2017-08-01,98673
2017-08-02,105489
2017-08-03,107526
2017-08-04,112406
2017-08-05,78885
2017-08-06,72575
2017-08-07,96244
2017-08-08,103393
2017-08-09,109431
2017-08-10,112627
2017-08-11,108092
2017-08-12,67636
2017-08-13,61502
2017-08-14,103077
2017-08-15,99104
2017-08-16,108327
2017-08-17,110974
2017-08-18,110367
2017-08-19,64061
2017-08-20,56927
2017-08-21,60719
2017-08-22,85718
2017-08-23,109102
2017-08-24,110114
2017-08-25,107364
2017-08-26,71029
2017-08-27,58054
2017-08-28,102933
2017-08-29,103949
2017-08-30,110294
2017-08-31,114560
2017-09-01,104479
2017-09-02,77314
2017-09-03,53323
2017-09-04,101666
2017-09-05,103844
2017-09-06,108535
2017-09-07,113998
2017-09-08,114603
2017-09-09,70655
2017-09-10,48160
2017-09-11,105888
2017-09-12,110251
2017-09-13,111953
2017-09-14,115310
2017-09-15,115020
2017-09-16,83858
2017-09-17,77114
2017-09-18,100658
2017-09-19,107203
2017-09-20,109347
2017-09-21,100793
2017-09-22,112928
2017-09-23,80943
2017-09-24,72479
2017-09-25,104650
2017-09-26,105248
2017-09-27,110611
2017-09-28,117272
2017-09-29,116955
2017-09-30,80336
2017-10-01,60740
2017-10-02,107129
2017-10-03,111050
2017-10-04,113073
2017-10-05,115765
2017-10-06,118835
2017-10-07,82471
2017-10-08,69763
2017-10-09,108793
2017-10-10,109273
2017-10-11,116500
2017-10-12,113743
2017-10-13,117099
2017-10-14,83520
2017-10-15,70331
2017-10-16,69948
2017-10-17,110600
2017-10-18,109106
2017-10-19,113932
2017-10-20,115984
2017-10-21,74004
2017-10-22,65977
2017-10-23,107055
2017-10-24,107856
2017-10-25,115546
2017-10-26,114315
2017-10-27,114863
2017-10-28,84753
2017-10-29,71880
2017-10-30,106951
2017-10-31,108715
2017-11-01,113872
2017-11-02,112554
2017-11-03,118096
2017-11-04,87178
2017-11-05,71689
2017-11-06,105534
2017-11-07,110679
2017-11-08,112074
2017-11-09,117910
2017-11-10,120386
2017-11-11,86050
2017-11-12,74911
2017-11-13,108356
2017-11-14,109484
2017-11-15,113470
2017-11-16,117042
2017-11-17,118647
2017-11-18,79716
2017-11-19,75477
2017-11-20,56751
2017-11-21,109775
2017-11-22,112507
2017-11-23,118410
2017-11-24,121652
2017-11-25,86136
2017-11-26,73680
2017-11-27,109818
2017-11-28,113709
2017-11-29,110483
2017-11-30,118599
2017-12-01,120128
2017-12-02,85408
2017-12-03,66158
2017-12-04,108072
2017-12-05,112109
2017-12-06,115917
2017-12-07,123854
2017-12-08,71311
2017-12-09,72440
2017-12-10,76196
2017-12-11,104950
2017-12-12,103643
2017-12-13,103009
2017-12-14,101988
2017-12-15,118277
2017-12-16,84601
2017-12-17,82755
2017-12-18,78724
2017-12-19,102949
2017-12-20,115899
2017-12-21,117631
2017-12-22,112986
2017-12-23,70155
2017-12-24,43549
2017-12-25,55783
2017-12-26,103324
2017-12-27,105156
2017-12-28,107263
2017-12-29,100187
2017-12-30,61032
2017-12-31,35435
2018-01-01,47614
2018-01-02,89605
2018-01-03,93398
2018-01-04,93843
2018-01-05,95348
2018-01-06,60750
2018-01-07,56643
2018-01-08,92251
2018-01-09,92276
2018-01-10,94885
2018-01-11,95223
2018-01-12,97435
2018-01-13,60342
2018-01-14,50658
2018-01-15,94167
2018-01-16,94929
2018-01-17,96531
2018-01-18,102742
2018-01-19,99151
2018-01-20,63527
2018-01-21,56835
2018-01-22,94744
2018-01-23,94270
2018-01-24,97448
2018-01-25,99155
2018-01-26,100532
2018-01-27,66384
2018-01-28,60686
2018-01-29,98198
2018-01-30,97541
2018-01-31,102858
2018-02-01,106294
2018-02-02,106392
2018-02-03,67855
2018-02-04,62631
2018-02-05,100483
2018-02-06,101055
2018-02-07,103665
2018-02-08,107811
2018-02-09,108380
2018-02-10,71765
2018-02-11,63184
2018-02-12,59843
2018-02-13,56734
2018-02-14,109290
2018-02-15,103145
2018-02-16,108842
2018-02-17,71059
2018-02-18,63087
2018-02-19,101159
2018-02-20,105556
2018-02-21,71729
2018-02-22,112582
2018-02-23,112221
2018-02-24,74962
2018-02-25,71991
2018-02-26,108020
2018-02-27,110970
2018-02-28,110774
2018-03-01,109485
2018-03-02,112814
2018-03-03,78596
2018-03-04,67430
2018-03-05,106825
2018-03-06,107442
2018-03-07,113405
2018-03-08,102642
2018-03-09,116473
2018-03-10,83570
2018-03-11,69576
2018-03-12,108238
2018-03-13,110309
2018-03-14,112327
2018-03-15,117228
2018-03-16,120686
2018-03-17,84851
2018-03-18,59404
2018-03-19,115823
2018-03-20,117191
2018-03-21,123380
2018-03-22,122955
2018-03-23,122528
2018-03-24,70830
2018-03-25,71753
2018-03-26,113006
2018-03-27,115700
2018-03-28,118119
2018-03-29,79781
2018-03-30,60364
2018-03-31,62662
2018-04-01,65257
2018-04-02,61683
2018-04-03,113321
2018-04-04,118845
2018-04-05,120786
2018-04-06,106527
2018-04-07,77405
2018-04-08,60580
2018-04-09,111354
2018-04-10,114410
2018-04-11,103680
2018-04-12,118646
2018-04-13,118154
2018-04-14,84006
2018-04-15,69386
2018-04-16,107399
2018-04-17,109108
2018-04-18,111556
2018-04-19,117736
2018-04-20,112399
2018-04-21,73986
2018-04-22,69025
2018-04-23,108470
2018-04-24,109065
2018-04-25,114238
2018-04-26,121923
2018-04-27,120946
2018-04-28,71139
2018-04-29,45599
2018-04-30,71759
2018-05-01,49459
2018-05-02,106701
2018-05-03,116479
2018-05-04,114359
2018-05-05,70569
2018-05-06,62545
2018-05-07,109026
2018-05-08,107657
2018-05-09,113658
2018-05-10,112287
2018-05-11,116682
2018-05-12,81447
2018-05-13,68435
2018-05-14,109643
2018-05-15,111573
2018-05-16,111470
2018-05-17,114519
2018-05-18,119581
2018-05-19,78548
2018-05-20,67050
2018-05-21,108830
2018-05-22,113667
2018-05-23,107411
2018-05-24,125519
2018-05-25,64895
2018-05-26,70636
2018-05-27,62113
2018-05-28,105539
2018-05-29,112891
2018-05-30,109296
2018-05-31,115072
2018-06-01,100177
2018-06-02,78169
2018-06-03,62889
2018-06-04,102135
2018-06-05,109638
2018-06-06,105287
2018-06-07,115320
2018-06-08,116521
2018-06-09,82523
2018-06-10,61194
2018-06-11,107023
2018-06-12,107606
2018-06-13,108321
2018-06-14,95207
2018-06-15,117122
2018-06-16,61742
2018-06-17,62460
2018-06-18,106047
2018-06-19,115991
2018-06-20,54512
2018-06-21,101965
2018-06-22,114354
2018-06-23,75393
2018-06-24,61650
2018-06-25,105186
2018-06-26,104334
2018-06-27,114487
2018-06-28,117333
2018-06-29,121457
2018-06-30,59665
2018-07-01,54221
2018-07-02,107706
2018-07-03,110994
2018-07-04,114188
2018-07-05,115829
2018-07-06,116835
2018-07-07,71080
2018-07-08,64549
2018-07-09,54631
2018-07-10,108250
2018-07-11,112450
2018-07-12,114716
2018-07-13,120512
2018-07-14,86003
2018-07-15,69264
2018-07-16,105547
2018-07-17,103446
2018-07-18,101778
2018-07-19,101996
2018-07-20,103073
2018-07-21,80917
2018-07-22,73114
2018-07-23,97343
2018-07-24,99028
2018-07-25,101077
2018-07-26,98563
2018-07-27,103065
2018-07-28,70248
2018-07-29,60747
2018-07-30,100882
2018-07-31,106218
2018-08-01,106396
2018-08-02,109607
2018-08-03,113398
2018-08-04,73669
2018-08-05,73493
2018-08-06,104795
2018-08-07,103742
2018-08-08,95362
2018-08-09,115831
2018-08-10,117427
2018-08-11,80166
2018-08-12,76529
2018-08-13,105426
2018-08-14,109866
2018-08-15,113207
2018-08-16,116599
2018-08-17,118665
2018-08-18,74756
2018-08-19,63755
2018-08-20,62662
2018-08-21,108282
2018-08-22,107855
2018-08-23,111964
2018-08-24,114629
2018-08-25,78029
2018-08-26,66636
2018-08-27,104125
2018-08-28,109840
2018-08-29,112935
2018-08-30,106175
2018-08-31,116967
2018-09-01,76284
2018-09-02,72997
2018-09-03,103482
2018-09-04,108681
2018-09-05,108947
2018-09-06,112994
2018-09-07,116878
2018-09-08,80779
2018-09-09,67162
2018-09-10,102517
2018-09-11,110295
2018-09-12,97560
2018-09-13,112767
2018-09-14,116060
2018-09-15,76181
2018-09-16,58556
2018-09-17,104448
2018-09-18,106953
2018-09-19,109922
